log_level,message,value,session_length,num_failed_attempts,label,hour,day
2.0,User login successful,0.4030130626714114,65.92838936185413,3,1,0,0
2.0,File accessed,0.0240540646307301,50.74063810950127,4,1,0,0
0.0,Service started,0.6606108850572536,4.508991517823343,3,0,0,0
1.0,File accessed,-0.2796705727776134,59.03579849318052,5,0,0,0
1.0,User login failed,0.9200227890136916,15.04684977180634,3,0,0,0
2.0,User login failed,0.4603458383350989,43.21655202374546,3,1,0,0
0.0,Unauthorized access attempt,0.8592489464054012,72.18234242061989,2,0,0,0
1.0,Unauthorized access attempt,-0.8199237808627544,19.49369861920326,3,0,0,0
2.0,Service started,-0.7975491739038518,47.98172419813306,3,0,0,0
,File accessed,0.3147622781433152,87.97973341077326,1,1,0,0
0.0,User login failed,0.5199322763477452,48.37133735906699,2,1,0,0
0.0,User login failed,0.7266759820079587,20.87765079704346,3,1,0,0
3.0,User login successful,0.6827738982039486,29.13766106277088,4,1,0,0
1.0,User login failed,-0.5140917848626356,91.69112185438608,4,1,0,0
3.0,Unauthorized access attempt,0.010054811133078,23.736449369830694,4,1,0,0
1.0,Unauthorized access attempt,0.7070001844244547,1.8022802454460325,3,1,0,0
3.0,Service started,-0.4278528107926322,61.44615684265936,5,1,0,0
0.0,Service started,-0.1720119053700435,5.785352720294325,0,0,0,0
0.0,User login successful,0.6297065347279256,58.53881457994284,3,0,0,0
2.0,Configuration change detected,-0.5887225128199847,39.8173112366773,4,1,0,0
2.0,Configuration change detected,0.7219795511808802,52.98891146396116,3,1,0,0
1.0,File accessed,-0.723294833413036,60.51459383061421,4,0,0,0
1.0,Configuration change detected,0.1898992933973438,63.37558748394542,5,0,0,0
0.0,Service started,0.2568659452473028,91.62357679075204,2,1,0,0
2.0,Service stopped,0.8050423816897627,19.42266881775639,5,1,0,0
,User login successful,0.345795299727863,61.07060581842738,4,0,0,0
3.0,Configuration change detected,-0.8125495512845746,23.68490992150316,0,1,0,0
1.0,File accessed,0.7513812404113029,71.57901995705055,4,0,0,0
3.0,Configuration change detected,-0.67533538836936,31.6302549899823,4,0,0,0
1.0,File accessed,-0.2290874500499804,78.17122387628869,1,1,0,0
3.0,Unauthorized access attempt,0.4503885229951681,57.27157773922367,3,0,0,0
3.0,Service stopped,-0.5267642084292261,98.60611253724764,5,0,0,0
3.0,Service stopped,0.4020295220152274,22.817571936342524,2,1,0,0
0.0,Configuration change detected,-0.9961136743840509,50.46277681105384,1,0,0,0
0.0,Configuration change detected,-0.4222255316516425,80.78802962854587,3,1,0,0
1.0,Unauthorized access attempt,-0.0968728624255368,81.8404782555787,2,0,0,0
3.0,Configuration change detected,-0.4839256839256483,21.647502879851157,0,0,0,0
3.0,User login successful,-0.0638787457299492,94.36115332016462,3,0,0,0
1.0,User login successful,-0.7689614082456484,93.57259139054814,4,1,0,0
0.0,User login failed,-0.7960668315280885,67.74174854441662,4,0,0,0
,Configuration change detected,0.7191783296563936,96.9039193997698,5,1,0,0
3.0,Unauthorized access attempt,-0.9896552347803572,17.447476320818485,2,1,0,0
3.0,File accessed,0.2731906822926484,67.85532819535372,4,1,0,0
,Service stopped,-0.4987472326660123,48.010939742389645,3,1,0,0
1.0,Unauthorized access attempt,-0.0874761879717143,47.69831286412938,0,1,0,0
0.0,Configuration change detected,-0.9189419104649836,46.41811304959105,4,1,0,0
1.0,Configuration change detected,0.4784318461015366,82.01925321326078,4,1,0,0
1.0,User login successful,0.7498170903884349,19.230468300942977,1,1,0,0
,Configuration change detected,0.1997443977791948,67.09733693518068,3,0,0,0
3.0,User login successful,0.1573295031754484,75.18313167043081,0,1,0,0
,Configuration change detected,-0.1304452902096557,79.35621594656895,4,0,0,0
2.0,User login failed,-0.627103226974163,31.088396509190837,3,0,0,0
,Service started,-0.8657740313164224,44.23613570136496,1,1,0,0
2.0,Service stopped,0.576573595370012,61.72656776537436,0,1,0,0
,User login successful,-0.7358953708686802,56.70233283715674,4,0,0,0
2.0,Unauthorized access attempt,-0.4719773576924968,5.550694126281135,1,1,0,0
0.0,User login failed,0.6976759723278667,21.89024723535223,4,1,0,0
3.0,Unauthorized access attempt,-0.501328509093707,98.98391992456558,4,0,0,0
3.0,Unauthorized access attempt,-0.219652218794901,40.91833385153903,4,1,0,0
2.0,User login failed,0.4226403400960707,94.20591786780712,2,1,0,0
3.0,Service stopped,-0.1475622870090294,36.84870184506688,0,1,1,0
2.0,Service stopped,-0.7021418348769368,77.43060619718922,1,0,1,0
1.0,File accessed,0.8014816826347506,63.50945393171219,5,1,1,0
,File accessed,0.8834607138937911,41.63049033091156,4,1,1,0
1.0,File accessed,-0.4054291118911797,8.861228894038018,2,1,1,0
3.0,Unauthorized access attempt,0.2154132803910591,29.811446076830585,0,1,1,0
1.0,Unauthorized access attempt,0.5865066682837834,7.520718986229903,0,0,1,0
,User login successful,-0.783026480687607,42.80777768459513,4,1,1,0
0.0,Unauthorized access attempt,-0.0381197114107563,45.96322001118946,3,1,1,0
,User login successful,0.6508606294084782,37.17236319474093,5,1,1,0
1.0,User login successful,0.1674774706753392,49.80339886514496,0,1,1,0
1.0,File accessed,0.1085167423105466,41.1085129226355,4,1,1,0
2.0,Configuration change detected,0.3196145265724754,60.7211735692483,5,1,1,0
3.0,Service stopped,0.352610267584682,54.49435637669607,3,1,1,0
0.0,User login failed,-0.0768827697186902,90.7666952101057,3,1,1,0
0.0,File accessed,-0.2058305938114732,17.251624035191256,3,1,1,0
,User login failed,0.7081216032458955,78.68614318279346,5,0,1,0
3.0,Configuration change detected,-0.8411495907591127,35.31766448204225,4,1,1,0
2.0,User login failed,0.9362143051912972,68.51385165593352,5,1,1,0
3.0,Unauthorized access attempt,0.81001133429239,34.264657871478335,0,1,1,0
,Unauthorized access attempt,0.289773618562221,3.585906733303556,5,0,1,0
3.0,Configuration change detected,0.092905470868992,60.83557909942596,5,1,1,0
0.0,User login successful,-0.1169866772372765,20.78154167049259,3,0,1,0
3.0,File accessed,-0.2236348397173202,40.45955962742832,2,0,1,0
3.0,Service stopped,0.4218108467333696,29.34436138552676,2,1,1,0
3.0,Service stopped,0.8288115045795115,58.69426030550287,2,0,1,0
0.0,File accessed,0.1155139364472921,50.12720579630756,1,1,1,0
0.0,Service started,-0.7104252405265079,14.331808279327593,3,1,1,0
,Configuration change detected,0.4976674950771194,17.085241262085397,3,0,1,0
3.0,Configuration change detected,-0.2886102605692735,40.55589892001211,1,1,1,0
1.0,Configuration change detected,-0.5743754868923228,20.289301074538656,3,1,1,0
,Service stopped,-0.9746813842610262,8.458847167718947,3,0,1,0
1.0,Unauthorized access attempt,-0.0039326257915512,83.06261039568379,4,1,1,0
2.0,Service stopped,-0.1262906565486492,57.573598855008726,3,0,1,0
3.0,User login successful,0.1863208105844009,10.46127350953165,1,0,1,0
3.0,Unauthorized access attempt,0.0888541855713211,41.064761943068326,2,1,1,0
3.0,Unauthorized access attempt,0.6524461370685046,31.54688958741812,5,1,1,0
3.0,User login failed,-0.7504067456198182,96.5128858622114,3,1,1,0
1.0,Unauthorized access attempt,0.5979070011890073,3.617839541133897,0,1,1,0
3.0,Service stopped,0.3002347048806786,23.064741001586523,5,0,1,0
0.0,Service stopped,0.4770459158021127,1.6444883657911644,4,0,1,0
2.0,Service stopped,0.4375758201302704,63.70542440891692,2,0,1,0
