src_ip,dst_ip,protocol,action,value,packet_size,num_retries,label,hour,day
10.0.0.2,8.8.4.4,UDP,BLOCK,-0.0690089658585841,138.73195539030692,6,1,14,0
192.168.1.2,8.8.8.8,TCP,ALLOW,0.3502371199371585,401.3324456897541,3,1,1,0
172.16.0.1,172.16.0.2,UDP,ALLOW,0.8236983710865542,370.043913498899,1,0,8,0
10.0.0.1,8.8.8.8,UDP,BLOCK,0.0136553003473685,272.9037872431312,0,0,1,0
10.0.0.2,8.8.4.4,UDP,BLOCK,-0.377327722863608,783.9925803376494,4,1,5,0
172.16.0.1,8.8.8.8,ICMP,BLOCK,-0.116982310650376,1310.4357832551934,7,0,6,0
172.16.0.1,10.0.0.3,TCP,BLOCK,-0.6969176123416896,1445.4938300792628,3,0,13,0
172.16.0.1,8.8.4.4,ICMP,BLOCK,0.2709566747657608,623.8903605680199,9,0,5,0
172.16.0.1,192.168.1.3,ICMP,ALLOW,-0.3353090636905318,217.9963294049745,8,0,7,0
192.168.1.1,8.8.4.4,TCP,BLOCK,0.5423230289854879,1417.9281798734671,1,0,13,0
192.168.1.1,192.168.1.3,ICMP,ALLOW,-0.987168153387874,761.894129419478,3,0,14,0
192.168.1.1,192.168.1.3,UDP,BLOCK,0.1680171546652251,1452.6666625556295,5,0,4,0
192.168.1.1,8.8.4.4,TCP,ALLOW,0.4901085338854518,1293.0955804582895,0,1,16,0
172.16.0.1,8.8.8.8,TCP,BLOCK,-0.0777257394032251,828.1291700762897,9,1,0,0
192.168.1.1,172.16.0.2,ICMP,BLOCK,0.7726376580403462,1005.0464734454554,8,0,7,0
192.168.1.1,8.8.8.8,ICMP,ALLOW,-0.568290927315787,1039.8727746359796,1,1,5,0
10.0.0.1,192.168.1.3,TCP,ALLOW,0.5337169783269275,668.0557663872136,5,0,10,0
10.0.0.1,172.16.0.2,TCP,BLOCK,-0.3372815111197085,738.5571341324969,8,0,9,0
192.168.1.2,192.168.1.3,ICMP,ALLOW,0.663247016355869,282.8856405294258,5,0,12,0
192.168.1.1,8.8.8.8,ICMP,BLOCK,0.1479263092955964,1277.8890937080694,7,0,14,0
10.0.0.2,192.168.1.3,UDP,ALLOW,0.6217790737477491,661.0663032150054,4,0,5,0
10.0.0.2,8.8.4.4,ICMP,BLOCK,0.9091868670259468,356.9554312333689,4,0,4,0
192.168.1.2,10.0.0.3,UDP,BLOCK,0.4000966901036726,1079.0010644605268,9,0,8,0
172.16.0.1,172.16.0.2,UDP,BLOCK,-0.1400628670848238,606.5059520732365,10,0,13,0
172.16.0.1,172.16.0.2,TCP,ALLOW,0.619307724106418,636.4766792209209,9,0,6,0
192.168.1.1,192.168.1.3,TCP,ALLOW,0.4838559397019695,1051.164558193076,10,1,15,0
10.0.0.1,192.168.1.3,UDP,BLOCK,0.9154770437331404,914.5877721728714,8,1,0,0
10.0.0.2,8.8.4.4,TCP,BLOCK,-0.1663639442362263,613.7963177803622,4,1,3,0
10.0.0.2,8.8.8.8,ICMP,ALLOW,0.2076571260317312,1082.9022728928778,8,1,3,0
172.16.0.1,10.0.0.3,TCP,BLOCK,0.9531301240181168,610.0168570875643,10,0,13,0
192.168.1.1,10.0.0.3,ICMP,ALLOW,-0.3760711830785763,425.31177264433495,4,1,14,0
192.168.1.1,8.8.8.8,ICMP,BLOCK,-0.5479383725978217,1343.6045039842766,1,0,14,0
10.0.0.1,10.0.0.3,UDP,BLOCK,0.23541722449623,601.3398189346715,9,0,0,0
172.16.0.1,10.0.0.3,UDP,BLOCK,0.2330786024203064,1037.402173224761,1,1,4,0
192.168.1.1,8.8.4.4,ICMP,BLOCK,-0.405184551917287,335.6007673704562,5,0,6,0
10.0.0.1,172.16.0.2,UDP,BLOCK,-0.0545414226784275,339.8670545099208,3,1,9,0
192.168.1.2,172.16.0.2,ICMP,ALLOW,-0.4782179158719404,124.36500237900572,8,1,15,0
